state,created_at,merged,merge_date,no_comments,extracted_at
open,1605945691.0,False,N/A,0,1607797219.931984
open,1605858668.0,False,N/A,0,1607797219.931984
open,1605601660.0,False,N/A,0,1607797219.931984
open,1605600341.0,False,N/A,0,1607797219.931984
open,1605527455.0,False,N/A,2,1607797219.931984
open,1566963779.0,False,N/A,9,1607797219.931984
closed,1604695287.0,False,N/A,1,1607797219.931984
closed,1603825205.0,False,N/A,3,1607797219.931984
closed,1598957765.0,False,N/A,1,1607797219.931984
closed,1597339068.0,False,N/A,1,1607797219.931984
closed,1591966193.0,False,N/A,2,1607797219.931984
closed,1591178517.0,False,N/A,4,1607797219.931984
closed,1589267434.0,False,N/A,4,1607797219.931984
closed,1580771698.0,False,N/A,0,1607797219.931984
closed,1573709482.0,False,N/A,1,1607797219.931984
closed,1572417145.0,False,N/A,1,1607797219.931984
closed,1567785037.0,False,N/A,0,1607797219.931984
closed,1567785035.0,False,N/A,0,1607797219.931984
closed,1566068903.0,False,N/A,1,1607797219.931984
closed,1564500504.0,True,1564500839.0,0,1607797219.931984
closed,1564099750.0,False,N/A,3,1607797219.931984
closed,1563788313.0,False,N/A,6,1607797219.931984
closed,1562779205.0,False,N/A,1,1607797219.931984
closed,1561654180.0,False,N/A,0,1607797219.931984
closed,1557867239.0,True,1557869506.0,3,1607797219.931984
closed,1556321271.0,False,N/A,1,1607797219.931984
closed,1555200688.0,False,N/A,1,1607797219.931984
closed,1553864007.0,False,N/A,1,1607797219.931984
closed,1553722180.0,False,N/A,1,1607797219.931984
closed,1552312998.0,False,N/A,0,1607797219.931984
closed,1551577280.0,False,N/A,0,1607797219.931984
closed,1551448727.0,False,N/A,0,1607797219.931984
closed,1551350233.0,False,N/A,0,1607797219.931984
closed,1551344647.0,False,N/A,0,1607797219.931984
closed,1551344179.0,False,N/A,0,1607797219.931984
closed,1551137450.0,False,N/A,0,1607797219.931984
closed,1551028597.0,False,N/A,0,1607797219.931984
closed,1550985949.0,False,N/A,1,1607797219.931984
closed,1550985410.0,False,N/A,0,1607797219.931984
closed,1550963842.0,False,N/A,2,1607797219.931984
closed,1550953514.0,False,N/A,12,1607797219.931984
closed,1550886147.0,False,N/A,0,1607797219.931984
closed,1550673680.0,False,N/A,0,1607797219.931984
closed,1550656896.0,False,N/A,0,1607797219.931984
closed,1549547971.0,False,N/A,1,1607797219.931984
closed,1549541636.0,False,N/A,0,1607797219.931984
closed,1548170144.0,False,N/A,1,1607797219.931984
closed,1537372436.0,False,N/A,1,1607797219.931984
closed,1537371992.0,False,N/A,1,1607797219.931984
closed,1537370190.0,False,N/A,1,1607797219.931984
closed,1537296301.0,False,N/A,3,1607797219.931984
closed,1537275964.0,False,N/A,0,1607797219.931984
closed,1537194504.0,False,N/A,3,1607797219.931984
closed,1537193535.0,False,N/A,0,1607797219.931984
closed,1537192926.0,False,N/A,0,1607797219.931984
closed,1536583724.0,False,N/A,0,1607797219.931984
closed,1532888798.0,False,N/A,2,1607797219.931984
closed,1528571540.0,False,N/A,0,1607797219.931984
closed,1528564980.0,False,N/A,0,1607797219.931984
closed,1515796722.0,False,N/A,1,1607797219.931984
closed,1515092669.0,False,N/A,4,1607797219.931984
closed,1512345044.0,False,N/A,1,1607797219.931984
closed,1509122512.0,False,N/A,0,1607797219.931984
closed,1508819796.0,False,N/A,2,1607797219.931984
closed,1508819594.0,False,N/A,2,1607797219.931984
closed,1506829477.0,False,N/A,1,1607797219.931984
closed,1501184934.0,False,N/A,1,1607797219.931984
closed,1496785593.0,False,N/A,3,1607797219.931984
closed,1482358246.0,False,N/A,0,1607797219.931984
closed,1476744164.0,False,N/A,0,1607797219.931984
closed,1475783726.0,False,N/A,2,1607797219.931984
closed,1475202252.0,False,N/A,3,1607797219.931984
closed,1474537102.0,False,N/A,8,1607797219.931984
closed,1474470286.0,False,N/A,1,1607797219.931984
closed,1474314368.0,False,N/A,5,1607797219.931984
closed,1473790876.0,False,N/A,1,1607797219.931984
closed,1473710449.0,False,N/A,1,1607797219.931984
closed,1473208900.0,False,N/A,0,1607797219.931984
closed,1472731768.0,False,N/A,2,1607797219.931984
closed,1472706036.0,False,N/A,4,1607797219.931984
closed,1472419081.0,False,N/A,3,1607797219.931984
closed,1468889763.0,False,N/A,2,1607797219.931984
closed,1468848767.0,False,N/A,0,1607797219.931984
closed,1459742164.0,False,N/A,0,1607797219.931984
closed,1459403881.0,False,N/A,1,1607797219.931984
closed,1459223149.0,False,N/A,3,1607797219.931984
closed,1454314067.0,False,N/A,0,1607797219.931984
closed,1454106900.0,False,N/A,1,1607797219.931984
closed,1454105295.0,False,N/A,4,1607797219.931984
closed,1452717557.0,False,N/A,0,1607797219.931984
closed,1452550124.0,False,N/A,2,1607797219.931984
closed,1442482001.0,False,N/A,6,1607797219.931984
closed,1442415742.0,False,N/A,8,1607797219.931984
closed,1438807383.0,True,1438808136.0,1,1607797219.931984
closed,1438644084.0,False,N/A,0,1607797219.931984
closed,1438643449.0,True,1453410261.0,0,1607797219.931984
closed,1438643077.0,True,1453410227.0,0,1607797219.931984
closed,1438642877.0,True,1453410188.0,0,1607797219.931984
closed,1438642358.0,True,1453410108.0,0,1607797219.931984
closed,1438641315.0,False,N/A,0,1607797219.931984
closed,1438641068.0,True,1453408882.0,0,1607797219.931984
closed,1438640694.0,True,1453408854.0,0,1607797219.931984
closed,1438640330.0,False,N/A,0,1607797219.931984
closed,1438639096.0,True,1453408435.0,0,1607797219.931984
closed,1438638821.0,True,1453408236.0,0,1607797219.931984
closed,1438638582.0,False,N/A,0,1607797219.931984
closed,1432894837.0,False,N/A,1,1607797219.931984
closed,1431573521.0,False,N/A,4,1607797219.931984
closed,1430496412.0,False,N/A,2,1607797219.931984
closed,1427723282.0,False,N/A,1,1607797219.931984
closed,1427125987.0,False,N/A,1,1607797219.931984
closed,1420263810.0,False,N/A,2,1607797219.931984
closed,1419954280.0,False,N/A,0,1607797219.931984
closed,1419516341.0,False,N/A,2,1607797219.931984
closed,1418667349.0,False,N/A,3,1607797219.931984
closed,1411455697.0,False,N/A,1,1607797219.931984
closed,1410935245.0,False,N/A,1,1607797219.931984
closed,1410879312.0,False,N/A,17,1607797219.931984
closed,1410811199.0,False,N/A,1,1607797219.931984
closed,1403938807.0,False,N/A,4,1607797219.931984
closed,1399647001.0,False,N/A,5,1607797219.931984
